,Title,Published_date,Views,Likes,Favourites,Comments,Month
269,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,802,33,0,12,Mar
270,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1435,35,0,8,Mar
271,Where YOU Should Start With Data Science Projects,2019-02-19,16646,345,0,17,Feb
272,Watch This Before Applying to Data Science Jobs,2019-02-04,1490,66,0,13,Feb
273,My Top 5 Data Science Resources for 2019,2019-01-05,3697,122,0,17,Jan
274,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,832,36,0,6,Dec
275,The Best Way to Predict NBA Minutes Played,2018-12-11,4241,107,0,14,Dec
276,Demystifying Data Science Roles,2018-11-30,1129,53,0,5,Nov
277,How to Simulate NBA Games in Python,2018-11-19,17630,390,0,54,Nov
278,Should You Get A Masters in Data Science?,2018-11-14,20509,305,0,135,Nov
279,How I Became A Data Scientist From a Business Background,2018-11-12,6443,196,0,23,Nov
280,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8652,193,0,17,Jul
281,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18874,292,0,41,Nov
